"Country","Cost of Living Index","Local Purchasing Power Index"
"Afghanistan",26.71,28.19
"Albania",36.96,28.12
"Algeria",28.88,26.9
"Argentina",31.18,43.38
"Armenia",33.71,26.09
"Australia",75.89,103.38
"Austria",71.78,79.38
"Azerbaijan",31.14,27.19
"Bahamas",84.25,53.12
"Bahrain",58.36,56.17
"Bangladesh",33.41,27.59
"Barbados",79.92,49.24
"Belarus",32.63,33.7
"Belgium",73.59,80.12
"Belize",53.08,47.93
"Bermuda",147.77,78.17
"Bolivia",36.02,39.3
"Bosnia And Herzegovina",36.57,41.58
"Botswana",39.13,66.79
"Brazil",30.99,30.36
"Brunei",47.49,75.32
"Bulgaria",38.39,44.11
"Cambodia",47.91,11.66
"Cameroon",38.95,16.6
"Canada",66.18,83.22
"Chile",45.43,35.55
"China",39.51,60.44
"Colombia",29.02,27.92
"Costa Rica",54.2,36.43
"Croatia",56.31,43.25
"Cuba",43.85,2.05
"Cyprus",59.93,56.8
"Czech Republic",45.05,59.28
"Denmark",85.02,101.27
"Dominican Republic",41.76,22.69
"Ecuador",40.62,32.7
"Egypt",29.55,21.09
"El Salvador",44.96,22.56
"Estonia",52.93,66.08
"Ethiopia",54.86,9.13
"Fiji",49.65,31.49
"Finland",72.71,93.94
"France",76.34,76.21
"Georgia",29.71,24.77
"Germany",66.34,97.41
"Ghana",38.52,16.02
"Greece",57.5,40.75
"Guatemala",44.23,34.35
"Honduras",42.73,30.08
"Hong Kong",77.9,67.02
"Hungary",40.09,46.3
"Iceland",90.19,74.78
"India",24.12,50.55
"Indonesia",36.86,22.19
"Iran",38.47,21.88
"Iraq",38.49,41.54
"Ireland",78.07,74.58
"Israel",82.52,73.94
"Italy",68.95,61.8
"Jamaica",54.36,35.55
"Japan",86.22,78.88
"Jordan",53.4,34.7
"Kazakhstan",31.01,38.26
"Kenya",37.75,28.98
"Kosovo (Disputed Territory)",28.42,43.32
"Kuwait",49.86,79.31
"Kyrgyzstan",24.7,23.56
"Latvia",49.18,49.49
"Lebanon",64.26,35.28
"Libya",66.06,38.39
"Lithuania",44.85,55.57
"Luxembourg",84.38,99.86
"Macao",70.18,73.01
"Malaysia",38.09,59.12
"Malta",69.26,44.65
"Mauritius",51.75,28.79
"Mexico",30.93,38.17
"Moldova",33.52,25.39
"Mongolia",33.97,28.38
"Montenegro",38.68,37.54
"Morocco",34.44,33.44
"Mozambique",39.98,15.17
"Myanmar",38.47,10.33
"Namibia",38.12,58.12
"Nepal",28.17,20.17
"Netherlands",74.63,86.76
"New Zealand",71.83,87.22
"Nicaragua",43.7,19.67
"Nigeria",29.76,11.1
"North Macedonia",32.96,33.3
"Norway",96.8,83.4
"Oman",49.42,87.3
"Pakistan",21,28.39
"Palestine",54.96,40.94
"Panama",55.02,33.79
"Paraguay",30.34,30.93
"Peru",37.64,30.66
"Philippines",39.25,21.38
"Poland",39.46,52.3
"Portugal",49.52,47.1
"Puerto Rico",70.02,71.16
"Qatar",67.54,99.82
"Romania",36.23,46.7
"Russia",33.66,35.96
"Rwanda",36.21,20.54
"Saudi Arabia",49.15,93.84
"Serbia",36.98,36.04
"Seychelles",74.41,19.77
"Singapore",81.13,82.61
"Slovakia",46.8,53.39
"Slovenia",55.17,60.61
"Somalia",38.48,28.91
"South Africa",37.52,73.52
"South Korea",75.93,81.67
"Spain",55.27,67.73
"Sri Lanka",32.93,21.42
"Suriname",47.95,18.52
"Sweden",72.31,94.04
"Switzerland",125.69,114.83
"Syria",27.04,9.48
"Taiwan",61.95,61.36
"Tanzania",36.85,13.89
"Thailand",48.97,33.02
"Trinidad And Tobago",56.66,41.39
"Tunisia",27.93,30.24
"Turkey",32.44,38.04
"Uganda",30.96,14.73
"Ukraine",30.05,30.9
"United Arab Emirates",62.98,86.06
"United Kingdom",65.67,86.98
"United States of America",72.47,108.29
"Uruguay",46.66,33.77
"Uzbekistan",27.37,22.25
"Vietnam",38.12,26.98
"Zimbabwe",54.06,22.59
